dataset,model,strategy,rank_pr_auc,mean_cv_pr_auc,std_cv_pr_auc,mean_cv_roc_auc,std_cv_roc_auc,mean_cv_recall,std_cv_recall,mean_fit_time,params
creditcard,decision_tree,class_weight,1,0.740622697280885,0.017483849214076256,0.9080295834522464,0.011323498195186243,0.8172372580769527,0.02263146372557545,11.27710779507955,"{'model__min_samples_leaf': 20, 'model__max_depth': 12}"
creditcard,decision_tree,class_weight,2,0.6803300103429328,0.06925570818828129,0.9143887390964623,0.01369689169720635,0.8324466034389699,0.02186875915590572,11.171470642089844,"{'model__min_samples_leaf': 20, 'model__max_depth': 8}"
creditcard,decision_tree,class_weight,3,0.6605392748647009,0.0033681050297443864,0.8881184826357574,0.01759755264887352,0.7766790037782405,0.035236156013088035,11.109333833058676,"{'model__min_samples_leaf': 5, 'model__max_depth': None}"
creditcard,decision_tree,class_weight,4,0.5041523692342625,0.021192673248891764,0.8424382045766557,0.004210187011842889,0.6853072711851338,0.008421838438323118,11.463052908579508,"{'model__min_samples_leaf': 1, 'model__max_depth': None}"
creditcard,decision_tree,class_weight,5,0.32191428541135936,0.1692397667439502,0.9224833749058639,0.027550990934461443,0.8782481301565271,0.03262653625245615,7.382652044296265,"{'model__min_samples_leaf': 1, 'model__max_depth': 4}"
creditcard,decision_tree,class_weight,6,0.32176202085327593,0.16908633093007316,0.9224752812545239,0.027559802178338363,0.8782481301565271,0.03262653625245615,5.655702511469523,"{'model__min_samples_leaf': 20, 'model__max_depth': 4}"
creditcard,decision_tree,smote,1,0.500098915154671,0.013993559104520409,0.9071358623496747,0.04756473938468222,0.8350875163852263,0.04693838315519929,21.134337504704792,"{'model__min_samples_leaf': 20, 'model__max_depth': 8}"
creditcard,decision_tree,smote,2,0.48496046636234436,0.03291910452140545,0.905051686998703,0.03741002777668903,0.8198588942863753,0.04118623581641757,26.24220887819926,"{'model__min_samples_leaf': 20, 'model__max_depth': 12}"
creditcard,decision_tree,smote,3,0.3338149009948795,0.04703231716928198,0.9048213825350203,0.01815604346028683,0.7894016500886729,0.030258865182524273,34.89815950393677,"{'model__min_samples_leaf': 5, 'model__max_depth': None}"
creditcard,decision_tree,smote,4,0.28407844687734535,0.04007083189511883,0.8846447667060645,0.016089078210180165,0.7716284987277354,0.03194625834475757,35.77043573061625,"{'model__min_samples_leaf': 1, 'model__max_depth': None}"
