dataset,model,strategy,best_threshold_from_val,test_roc_auc,test_pr_auc,test_recall,test_precision,test_f1,test_accuracy,test_expected_cost,test_tn,test_fp,test_fn,test_tp,test_expected_cost_at_0_5
paysim,xgboost,undersample,0.92,0.9997058501255388,0.9004498104090493,0.9841656516443362,0.2761449077238551,0.4312783560181478,0.9966507507913408,55360.0,1266646.0,4236.0,26.0,1616.0,127970.0
paysim,random_forest,smote,0.78,0.9995281507345888,0.9124828903049796,0.9549330085261876,0.3425824776054184,0.5042611352307445,0.9975772559103012,67090.0,1267873.0,3009.0,74.0,1568.0,160880.0
paysim,random_forest,adasyn,0.85,0.9993769765553654,0.8965080470854232,0.9707673568818516,0.2592713077423552,0.4092426187419768,0.9963835652608516,69540.0,1266328.0,4554.0,48.0,1594.0,255510.0
paysim,random_forest,oversample,0.74,0.9994381684373722,0.8956361113704826,0.9445797807551766,0.3261143818334735,0.4848390121913097,0.9974098720338476,77550.0,1267677.0,3205.0,91.0,1551.0,149600.0
paysim,random_forest,undersample,0.81,0.9995048347608002,0.8948777757658781,0.9445797807551766,0.2857406042741341,0.4387553041018388,0.996881787691234,84270.0,1267005.0,3877.0,91.0,1551.0,216790.0
paysim,random_forest,class_weight,0.68,0.9993800863582016,0.8917773767750825,0.9421437271619976,0.2755610972568578,0.4264057331863286,0.9967293347708964,88170.0,1266815.0,4067.0,95.0,1547.0,130850.0
paysim,random_forest,baseline,0.01,0.9985594808152466,0.868835859797462,0.912911084043849,0.3075502667213787,0.460098219766728,0.9972354155992342,105250.0,1267507.0,3375.0,143.0,1499.0,221070.0
paysim,decision_tree,smote,0.92,0.9979611870000548,0.6281095210004609,0.93605359317905,0.178617083091226,0.2999902410461598,0.9943631711464774,123180.0,1263814.0,7068.0,105.0,1537.0,181750.0
paysim,decision_tree,oversample,0.9,0.99625825594789,0.664492903352046,0.92326431181486,0.1826946252108942,0.3050301810865191,0.9945714186922996,130820.0,1264100.0,6782.0,126.0,1516.0,267250.0
paysim,decision_tree,class_weight,0.94,0.9962550162804156,0.6631059378654163,0.9214372716199756,0.1841304612388949,0.3069276802921188,0.9946303566769664,131540.0,1264178.0,6704.0,129.0,1513.0,268270.0
paysim,decision_tree,adasyn,0.97,0.9976454757620342,0.5983055047853527,0.9671132764920828,0.1194973286176536,0.2127118076485165,0.9907624532032402,144010.0,1259181.0,11701.0,54.0,1588.0,178220.0
paysim,decision_tree,undersample,0.95,0.9947520930638326,0.1723760855458474,0.8574908647990256,0.1707080504364694,0.284732052578362,0.9944409692862374,185400.0,1264042.0,6840.0,234.0,1408.0,286380.0
paysim,logreg,adasyn,0.91,0.990022514713764,0.644301727904229,0.8447015834348356,0.141156116425809,0.2418904778514126,0.9931679088174368,211890.0,1262443.0,8439.0,255.0,1387.0,904390.0
paysim,decision_tree,baseline,0.01,0.919493979092974,0.7227655086539074,0.7594397076735688,0.3286768581971534,0.4587932303164091,0.9976880593214744,222970.0,1268335.0,2547.0,395.0,1247.0,249720.0
paysim,extra_trees,undersample,0.72,0.9875856642021604,0.6867697550481662,0.7643118148599269,0.1785714285714285,0.2895040369088812,0.9951592268593756,251230.0,1265109.0,5773.0,387.0,1255.0,779760.0
paysim,extra_trees,oversample,0.79,0.9757407314107908,0.568893624120118,0.6802679658952497,0.3272780544975095,0.4419386745796241,0.9977831459367368,285460.0,1268586.0,2296.0,525.0,1117.0,1154010.0
paysim,logreg,smote,0.93,0.9894339645800688,0.5892182691804619,0.741169305724726,0.1391811527904849,0.2343539379934527,0.9937510019457392,287770.0,1263355.0,7527.0,425.0,1217.0,678180.0
paysim,logreg,class_weight,0.9,0.9889452094306508,0.5838788192223695,0.7527405602923264,0.1239594824992478,0.21286489279256,0.9928166384288234,290350.0,1262147.0,8735.0,406.0,1236.0,693910.0
paysim,logreg,oversample,0.91,0.9890230050577188,0.5838571161211092,0.7466504263093788,0.1264178181068261,0.2162257495590828,0.9930154558970988,292720.0,1262410.0,8472.0,416.0,1226.0,689830.0
paysim,extra_trees,smote,0.8,0.9742687476056148,0.5705414045487291,0.6650426309378806,0.3696682464454976,0.4751958224543081,0.9981045544131192,293620.0,1269020.0,1862.0,550.0,1092.0,1165210.0
paysim,extra_trees,class_weight,0.78,0.9722293559652622,0.5725399272631522,0.6869671132764921,0.217215482380127,0.3300658376005852,0.9964016395761496,297650.0,1266817.0,4065.0,514.0,1128.0,1197950.0
paysim,logreg,undersample,0.8300000000000001,0.975828740100953,0.5710879520796865,0.6686967113276492,0.2054640718562874,0.3143429716576009,0.9962358273792872,314460.0,1266636.0,4246.0,544.0,1098.0,937330.0
paysim,extra_trees,baseline,0.01,0.9751601260218716,0.5731140981823168,0.7521315468940317,0.092350257982502,0.1645021645021645,0.990141639764751,324880.0,1258744.0,12138.0,407.0,1235.0,677020.0
paysim,logreg,baseline,0.02,0.9614818929370968,0.5591125529974853,0.6516443361753959,0.1936301121968874,0.2985491071428571,0.9960487975079448,330560.0,1266426.0,4456.0,572.0,1070.0,543590.0
paysim,extra_trees,adasyn,0.77,0.9834261940091704,0.2849073465444303,0.6017052375152253,0.067224603660611,0.1209376338821225,0.9887129830164304,464090.0,1257173.0,13709.0,654.0,988.0,4960700.0
