threshold,roc_auc,pr_auc,recall,precision,f1,accuracy,expected_cost,tn,fp,fn,tp
0.01,0.9574362409597976,0.786326110970789,0.8888888888888888,0.028304921196526216,0.05486284289276808,0.9467715318984586,35710,53842,3021,11,88
0.02,0.9574362409597976,0.786326110970789,0.8787878787878788,0.05886332882273342,0.11033608116677235,0.9753695446086865,19910,55472,1391,12,87
0.03,0.9574362409597976,0.786326110970789,0.8585858585858586,0.08440913604766634,0.15370705244122965,0.9835679926968857,16220,55941,922,14,85
0.04,0.9574362409597976,0.786326110970789,0.8585858585858586,0.11954992967651196,0.20987654320987653,0.988764439450862,13260,56237,626,14,85
0.05,0.9574362409597976,0.786326110970789,0.8484848484848485,0.1492007104795737,0.2537764350453172,0.9913275517011341,12290,56384,479,15,84
0.060000000000000005,0.9574362409597976,0.786326110970789,0.8383838383838383,0.18863636363636363,0.3079777365491651,0.9934517748674555,11570,56506,357,16,83
0.06999999999999999,0.9574362409597976,0.786326110970789,0.8383838383838383,0.23055555555555557,0.3616557734204793,0.9948562199360977,10770,56586,277,16,83
0.08,0.9574362409597976,0.786326110970789,0.8181818181818182,0.27364864864864863,0.41012658227848103,0.9959095537375794,11150,56648,215,18,81
0.09,0.9574362409597976,0.786326110970789,0.8181818181818182,0.32142857142857145,0.46153846153846156,0.9966819985253327,10710,56692,171,18,81
0.09999999999999999,0.9574362409597976,0.786326110970789,0.8181818181818182,0.3698630136986301,0.5094339622641509,0.9972613321161476,10380,56725,138,18,81
0.11,0.9574362409597976,0.786326110970789,0.8181818181818182,0.4175257731958763,0.552901023890785,0.9977002212000983,10130,56750,113,18,81
0.12,0.9574362409597976,0.786326110970789,0.8181818181818182,0.4602272727272727,0.5890909090909091,0.9980162213405428,9950,56768,95,18,81
0.13,0.9574362409597976,0.786326110970789,0.8181818181818182,0.525974025974026,0.6403162055335968,0.9984024437344194,9730,56790,73,18,81
0.14,0.9574362409597976,0.786326110970789,0.8181818181818182,0.5827338129496403,0.680672268907563,0.9986657771847899,9580,56805,58,18,81
0.15000000000000002,0.9574362409597976,0.786326110970789,0.8181818181818182,0.627906976744186,0.7105263157894737,0.9988413328183702,9480,56815,48,18,81
0.16,0.9574362409597976,0.786326110970789,0.8181818181818182,0.6377952755905512,0.7168141592920354,0.9988764439450862,9460,56817,46,18,81
0.17,0.9574362409597976,0.786326110970789,0.8181818181818182,0.6639344262295082,0.7330316742081447,0.9989642217618764,9410,56822,41,18,81
0.18000000000000002,0.9574362409597976,0.786326110970789,0.8080808080808081,0.6896551724137931,0.7441860465116279,0.9990344440153085,9860,56827,36,19,80
